bobRegistrationId 16004
signedPreKeyId 22
preKeyId 31337
bobIdentityPriv d87238802956f7320db23e99932d5e6777cba2144ac454cb985a03b2902e557e
bobIdentityPub 05f0ead423fdcd49f328e41ccf0f7b30803f27dab458f7c9b00f78a89ae292c12e
bobSignedPreKeyPriv 9000cc7936814a2f708847fba418f9b432415cb00c5c6ce48b9d93c7cbf2067d
bobSignedPreKeyPub 055c4ee3d55c466985d31dbe428bd151e79ee04ccee4114703d8ce66144e137715
bobPreKeyPriv b8485b03104a50425a52c944af31a2a529b6ecd35ffb45d798d30bb7fa8e565b
bobPreKeyPub 058601c15e6cf84a4aa5f8e97e172180c6ebe2aceac4e6e05c58dc3c0c6231912b
plaintext 6c69626f6d656d6f2e6a73202d3e206c69626f6d656d6f2d63206f6d656d6f3a322073656e64657220696e7465726f70
ciphertext 08e9f40110161a2055bbf434b72883907981f644936a0d9487d67d5cf794ee3a71df46ed8d5080652220bebb0dba0e7ed825fd6830124e6524dde495611f3be5311f952821e224cd15022a7c0a10f6f0abcef0bd00f76d454bea044dde581268080010001a20d8cc3dc6b2d2d3caaa3a2a5f1c3ef7ffa17a370acb2b91a9dc7f222911dc79252240d7d52655546d0bae576eb1b8e0959dfdc1e50c47ad1e1031d81f1325ec83cbebc30bbf7ad171456007b202652e99d41724cf1f77d01a14a0eaa43849063c981b
